seed,method,step,loss,mean_q,max_q
2,bc,4500,2.0767147541046143,4.264504432678223,8.204832077026367
2,bc,5250,1.94889497756958,4.008017539978027,7.870279312133789
2,bc,6000,1.9415850639343262,3.924128532409668,8.383537292480469
2,bc,6750,1.8979005813598633,3.8383209705352783,8.365265846252441
2,bc,7500,2.027714490890503,3.705230712890625,8.787055969238281
2,bc,8250,1.999518871307373,3.805839776992798,8.587078094482422
2,bc,9000,1.8976787328720093,3.6889240741729736,7.598440170288086
2,bc,9750,1.8680145740509033,3.5321199893951416,8.434732437133789
2,bc,10500,1.980873942375183,3.5098307132720947,8.549955368041992
2,bc,11250,1.8678231239318848,3.3726236820220947,7.890938758850098
2,bc,12000,1.8962180614471436,3.425734043121338,8.462934494018555
2,bc,12750,1.8113900423049927,3.378443717956543,8.517745971679688
2,bc,13500,1.8165080547332764,3.34957218170166,8.646669387817383
2,bc,14250,1.709110140800476,3.3296074867248535,8.204845428466797
2,bc,15000,1.898720383644104,3.2371573448181152,8.834866523742676
2,naive,2000,654.1842651367188,14.663673400878906,63.25494384765625
2,naive,4000,684.9151611328125,34.271202087402344,117.39434814453125
2,naive,6000,433.0701599121094,62.77021026611328,183.5110626220703
2,naive,8000,314.3209228515625,100.21589660644531,277.60418701171875
2,naive,10000,417.1729431152344,135.69635009765625,354.8132019042969
2,naive,12000,538.0045166015625,177.5776824951172,443.850830078125
2,naive,14000,736.4830932617188,226.07879638671875,539.6341552734375
2,naive,16000,783.717041015625,300.3951416015625,698.0694580078125
2,naive,18000,579.4891357421875,365.989013671875,818.5623779296875
2,naive,20000,918.2953491210938,476.0469970703125,1033.6962890625
2,naive,22000,1166.9239501953125,619.7128295898438,1293.8984375
2,naive,24000,1708.662109375,802.8328247070312,1678.5467529296875
2,naive,26000,2152.983642578125,1039.36669921875,2226.63818359375
2,naive,28000,4330.9541015625,1240.123779296875,2619.5673828125
2,naive,30000,5123.2763671875,1461.618408203125,2968.83642578125
2,naive,32000,5501.3642578125,1717.5908203125,3396.048828125
2,naive,34000,7003.8310546875,2062.5205078125,3957.17626953125
2,naive,36000,7721.2275390625,2416.372314453125,4523.0556640625
2,naive,38000,15055.7734375,2841.395263671875,5146.982421875
2,naive,40000,14437.056640625,3358.65087890625,5982.14697265625
2,cql,2000,657.17431640625,8.217307090759277,52.25798034667969
2,cql,4000,633.8450927734375,17.236202239990234,89.29408264160156
2,cql,6000,534.2880859375,27.095998764038086,112.06155395507812
2,cql,8000,321.7633972167969,40.784122467041016,144.16937255859375
2,cql,10000,529.0946655273438,52.54612350463867,172.65408325195312
